1,Mitzic,Gabon,11.2756,0.89414,Zircon,U-Th-Pb,2848
2,Mekone-01,Gabon,11.61195,0.45386,Amphibole,Ar-Ar,2500
3,Messogho-02,Gabon,11.47773,0.58045,Phlogopite,Ar-Ar,2235
4,Turkey-01,Australia,120.652,-28.8757,Phlogopite / Biotite,Rb-Sr,2100
5,Melita-01,Australia,121.1911,-29.4955,Phlogopite,Ar-Ar,2052
6,Melrose_AB02,Australia,121.721,-28.175,Zircon,U-Th-Pb,2032
7,Mekone-02,Gabon,11.65412,0.47105,Phlogopite,Ar-Ar,2029
8,Akwatia,Ghana,-1,6.5,Rutile,U-Th-Pb,2029
9,Placer_Anom_1,Australia,122.5173,-28.8895,Phlogopite / Biotite,Rb-Sr,2010
10,Amie-02,Gabon,11.5296,0.63411,Amphibole,Ar-Ar,2000
11,Ayolo,Gabon,11.49565,0.59381,Amphibole,Ar-Ar,2000
12,Kimozero-01,Russia,35.1124,62.3829,Zircon,U-Th-Pb,1986
13,Kimozero,Russia,35.1124,62.3829,Zircon,U-Th-Pb,1919
14,Mileura-03,Australia,116.0766,-27.0938,Phlogopite,Ar-Ar,1900
15,Lac_Castignon-02,Canada,-68.76704,56.41953,Zircon,U-Th-Pb,1880
16,Lac_Castignon-01,Canada,-68.81321,56.48383,Whole Rock,K-Ar,1873
17,Aboun-03,Gabon,11.12496,0.89521,Phlogopite,Ar-Ar,1850
18,Owens,Canada,-82.52083,49.44104,Phlogopite,K-Ar,1842
19,Zero,South Africa,23.721454,-27.282172,Perovskite,U-Th-Pb,1835
20,Shchorskaya,Russia,33.6607,48.3913,Phlogopite,Ar-Ar,1743
21,Helpmekaar_Gr,South Africa,23.597349,-27.551555,Perovskite,U-Th-Pb,1705
22,Bathlaros,South Africa,23.317042,-27.29467,Whole Rock + Mineral,Rb-Sr,1695
23,Elston-01,South Africa,23.621,-27.219,Perovskite,U-Th-Pb,1674
24,Elston-01,South Africa,23.621,-27.219,Phlogopite / Biotite,Rb-Sr,1674
25,Brockman_Creek-01,Australia,119.9752,-21.3708,Kelyphite after Garnet,Ar-Ar,1662
26,Bathlaros,South Africa,23.317042,-27.29467,Perovskite,U-Th-Pb,1647
27,Zero,South Africa,23.721454,-27.282172,Phlogopite,Ar-Ar,1643
28,Jianjiagou-01,China,111.041196,37.447878,Phlogopite,Ar-Ar,1635
29,White_Ladies,South Africa,23.866,-27.268,Perovskite,U-Th-Pb,1626
30,Yuzuican-05,China,113.35,39.64,Phlogopite,Rb-Sr,1500
31,Mochudi-01,Botswana,26.398,-24.3882,Phlogopite / Biotite,Rb-Sr,1390
32,Mosomane-02,Botswana,25.8778,-24.1071,Phlogopite,Ar-Ar,1386
33,Martins_Drift-02,Botswana,27.8627,-22.743,Phlogopite / Biotite,Ar-Ar,1364
34,Kotakonda,India,77.681451,16.773254,Phlogopite / Biotite,K-Ar,1363
35,Martins_Drift-04,Botswana,27.897699,-22.702999,Phlogopite / Biotite,Rb-Sr,1352
